id,시설명,영문명,유형,세부장르,주소,자치구,위도,경도,운영주체,공공민간,설립구분,설립연도,웹사이트,전화,입장료,휠체어접근,운영상태,최근접지하철역,지하철역거리m_직선,데이터출처,데이터기준일,데이터신뢰도,osm_id
F00000,국립서울과학관,National Children's Science Center,박물관,자료 없음,자료 없음,종로구,37.582186,126.997358,자료 없음,공공,국립(추정),자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),혜화,405,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368632876
F00001,잠실자동차극장,Jamsil Drive-in Theater,영화관·시네마테크,자료 없음,자료 없음,강남구,37.517324,127.068904,자료 없음,확인 필요,확인 필요,자료 없음,http://jamsilmovie.com/,자료 없음,자료 없음,자료 없음,운영 중(추정),종합운동장,816,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368633825
F00002,CGV 목동,CGV Mokdong,영화관·시네마테크,자료 없음,자료 없음,양천구,37.526657,126.874874,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),오목교,234,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368633864
F00003,CGV,CGV Cinema,영화관·시네마테크,자료 없음,서울특별시 중구 퇴계로 123,중구,37.561155,126.985276,자료 없음,확인 필요,확인 필요,2006,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),명동,101,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,way/273025318
F00004,CGV,CGV Guro,영화관·시네마테크,자료 없음,자료 없음,구로구,37.501151,126.882656,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),구로,256,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/368633872
F00005,CGV,CGV Cinema,영화관·시네마테크,자료 없음,자료 없음,서초구,37.501646,127.02641,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),신논현,341,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/1925407798
F00006,CGV,CGV Cinemas,영화관·시네마테크,자료 없음,서울특별시 마포구 양화로 153,마포구,37.556509,126.92259,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),홍대입구,77,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/4961057221
F00007,CGV,CGV Cinema,영화관·시네마테크,자료 없음,자료 없음,강동구,37.545838,127.142665,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),굽은다리,34,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/7477724431
F00008,CGV,CGV Cinema,영화관·시네마테크,자료 없음,자료 없음,성북구,37.592466,127.016881,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),성신여대입구,43,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/7557594185
F00009,CGV,CGV Cinema,영화관·시네마테크,자료 없음,서울특별시 성동구 왕십리광장로 17,성동구,37.561898,127.038217,자료 없음,확인 필요,확인 필요,자료 없음,자료 없음,자료 없음,자료 없음,자료 없음,운영 중(추정),왕십리,121,OpenStreetMap (ODbL),2026-07-13,커뮤니티 지도 기반 — 개별 검증 필요,node/10261832559
